ts_event,OFI1,OFI1,OFI2,OFI3,OFI4,OFI5,OFI6,OFI7,OFI8,OFI9,OFI10,OFI_I,CrossOFI
2024-10-21 12:12:00+00:00,160.0,160.0,1357.0,245.0,-880.0,352.0,-1275.0,-651.0,3133.0,1820.0,-1746.0,812.0580588718697,2515.0
2024-10-21 12:13:00+00:00,1979.0,1979.0,-865.0,-1253.0,2564.0,-1016.0,-2241.0,1360.0,11733.0,-3889.0,-6734.0,1504.841778341911,1638.0
2024-10-21 12:14:00+00:00,-22.0,-22.0,1483.0,1746.0,2476.0,-1021.0,327.0,1923.0,4114.0,-5658.0,542.0,584.9337932685916,5910.0
2024-10-21 12:15:00+00:00,981.0,981.0,-2169.0,-792.0,3309.0,-2996.0,-3658.0,6495.0,15482.0,-11215.0,-8411.0,1028.9566913476112,-2974.0
2024-10-21 12:16:00+00:00,-548.0,-548.0,-942.0,-274.0,1413.0,-2412.0,1429.0,-1433.0,6175.0,-8430.0,6653.0,1610.635054457562,1631.0
2024-10-21 12:17:00+00:00,-660.0,-660.0,-2816.0,399.0,1302.0,-2650.0,3186.0,2620.0,-4046.0,-958.0,6901.0,408.45039268036544,3278.0
2024-10-21 12:18:00+00:00,-1100.0,-1100.0,-1180.0,1745.0,-470.0,-1600.0,2395.0,-80.0,-2748.0,-521.0,7685.0,786.5557105838923,4126.0
2024-10-21 12:19:00+00:00,-50.0,-50.0,1608.0,419.0,944.0,-897.0,-102.0,1399.0,-685.0,-621.0,-228.0,-240.3882099804131,1787.0
2024-10-21 12:20:00+00:00,5.0,5.0,-1480.0,2950.0,4826.0,-2089.0,1098.0,4714.0,-2940.0,-595.0,-474.0,-420.52751618416397,6015.0
2024-10-21 12:21:00+00:00,0.0,0.0,-1396.0,3641.0,1101.0,-1866.0,895.0,1605.0,-2017.0,-272.0,1689.0,4.527134466603002,3380.0
2024-10-21 12:22:00+00:00,-602.0,-602.0,-1232.0,755.0,2303.0,-3592.0,791.0,3100.0,-3660.0,-441.0,-559.0,-982.1434899889177,-3137.0
2024-10-21 12:23:00+00:00,-577.0,-577.0,1673.0,-582.0,1953.0,-2577.0,-378.0,4806.0,-2251.0,-1978.0,-1056.0,-1001.2279645629775,-967.0
2024-10-21 12:24:00+00:00,-74.0,-74.0,-58.0,2554.0,2877.0,-3745.0,-14.0,3293.0,-3793.0,-1492.0,622.0,-952.2048337039456,170.0
2024-10-21 12:25:00+00:00,180.0,180.0,497.0,-397.0,1968.0,2902.0,-590.0,1412.0,1915.0,-909.0,59.0,550.2350221993673,7037.0
2024-10-21 12:26:00+00:00,239.0,239.0,995.0,-1477.0,1974.0,1351.0,-2299.0,2010.0,-901.0,-1409.0,1023.0,-416.19536362417153,1506.0
2024-10-21 12:27:00+00:00,510.0,510.0,-1766.0,1795.0,-406.0,196.0,2127.0,-96.0,-1290.0,-78.0,-244.0,-202.74250342029688,748.0
2024-10-21 12:28:00+00:00,-593.0,-593.0,-1020.0,-23.0,2988.0,-2496.0,-4.0,1194.0,-1190.0,-663.0,-69.0,-348.996288688956,-1876.0
2024-10-21 12:29:00+00:00,-1508.0,-1508.0,1857.0,-432.0,3483.0,-1974.0,1755.0,3100.0,-1984.0,-1026.0,844.0,-183.8487510448875,4115.0
2024-10-21 12:30:00+00:00,-206.0,-206.0,-3171.0,1391.0,1445.0,-2296.0,-524.0,1772.0,-797.0,-937.0,-152.0,-342.57318566294236,-3475.0
2024-10-21 12:31:00+00:00,-1246.0,-1246.0,-1842.0,1861.0,882.0,474.0,-1014.0,594.0,683.0,-2553.0,-1088.0,-524.8957594702892,-3249.0
2024-10-21 12:32:00+00:00,-471.0,-471.0,-1135.0,1590.0,2288.0,-103.0,0.0,-358.0,2988.0,-967.0,-334.0,785.9145601480081,3498.0
